iter	Passed	Remaining
445	1410	1752
446	1413	1748
447	1415	1744
448	1420	1743
449	1423	1740
450	1426	1736
451	1428	1732
452	1430	1727
453	1433	1723
454	1436	1720
455	1438	1716
456	1441	1713
457	1443	1708
458	1445	1703
459	1450	1702
460	1453	1699
461	1458	1698
462	1460	1693
463	1464	1692
464	1469	1690
465	1472	1687
466	1486	1696
467	1489	1692
468	1499	1697
469	1504	1696
470	1507	1693
471	1512	1691
472	1516	1689
473	1517	1684
474	1519	1679
475	1521	1674
476	1523	1669
477	1527	1668
478	1529	1663
479	1531	1658
480	1533	1654
481	1534	1649
482	1536	1644
483	1537	1639
484	1539	1634
485	1541	1630
486	1543	1625
487	1545	1621
488	1547	1617
489	1549	1612
490	1551	1608
491	1552	1603
492	1554	1598
493	1555	1593
494	1558	1589
495	1560	1585
496	1561	1580
497	1563	1576
498	1565	1571
499	1566	1566
500	1567	1561
501	1568	1556
502	1570	1551
503	1572	1547
504	1574	1543
505	1576	1539
506	1578	1534
507	1579	1529
508	1580	1524
509	1581	1519
510	1583	1515
511	1585	1510
512	1587	1506
513	1589	1502
514	1590	1498
515	1592	1493
516	1593	1488
517	1594	1483
518	1595	1478
519	1597	1474
520	1598	1469
521	1600	1465
522	1601	1460
523	1603	1456
524	1604	1451
525	1605	1446
526	1606	1442
527	1608	1437
528	1609	1432
529	1610	1428
530	1612	1423
531	1614	1420
532	1616	1415
533	1617	1411
534	1618	1406
535	1620	1402
536	1621	1397
537	1622	1393
538	1623	1388
539	1624	1384
540	1626	1379
541	1627	1375
542	1629	1371
543	1630	1366
544	1631	1362
545	1632	1357
546	1634	1353
547	1635	1348
548	1636	1344
549	1637	1340
550	1639	1335
551	1640	1331
552	1642	1327
553	1644	1323
554	1645	1319
555	1646	1315
556	1648	1310
557	1649	1306
558	1650	1302
559	1651	1297
560	1652	1293
561	1654	1289
562	1655	1285
563	1656	1280
564	1658	1276
565	1659	1272
566	1660	1268
567	1662	1264
568	1663	1260
569	1664	1255
570	1666	1251
571	1667	1247
572	1668	1243
573	1669	1239
574	1671	1235
575	1673	1231
576	1674	1227
577	1676	1223
578	1677	1219
579	1678	1215
580	1679	1211
581	1680	1207
582	1682	1203
583	1683	1199
584	1684	1195
585	1686	1191
586	1687	1187
587	1689	1183
588	1690	1179
589	1691	1175
590	1692	1171
591	1694	1167
592	1695	1163
593	1696	1159
594	1698	1156
595	1700	1152
596	1703	1149
597	1704	1145
598	1705	1142
599	1707	1138
600	1708	1134
601	1710	1130
602	1711	1126
603	1712	1122
604	1713	1118
605	1714	1114
606	1716	1111
607	1717	1107
608	1718	1103
609	1720	1099
610	1721	1095
611	1722	1092
612	1724	1088
613	1725	1084
614	1726	1081
615	1728	1077
616	1729	1073
617	1730	1069
618	1732	1066
619	1733	1062
620	1734	1058
621	1735	1054
622	1737	1051
623	1738	1047
624	1739	1043
625	1741	1040
626	1742	1036
627	1743	1032
628	1745	1029
629	1747	1026
630	1748	1022
631	1749	1018
632	1751	1015
633	1753	1012
634	1754	1008
635	1755	1004
636	1757	1001
637	1758	997
638	1760	994
639	1761	990
640	1762	987
641	1764	983
642	1765	980
643	1766	976
644	1768	973
645	1769	969
646	1770	966
647	1772	962
648	1773	959
649	1774	955
650	1776	952
651	1777	948
652	1778	945
653	1780	941
654	1781	938
655	1782	934
656	1783	931
657	1785	927
658	1786	924
659	1787	921
660	1789	917
661	1790	914
662	1791	910
663	1793	907
664	1794	904
665	1796	900
666	1797	897
667	1798	894
668	1799	890
669	1801	887
670	1802	883
671	1804	880
672	1805	877
673	1806	873
674	1808	870
675	1809	867
676	1810	863
677	1812	860
678	1813	857
679	1814	853
680	1815	850
681	1817	847
682	1818	843
683	1819	840
684	1821	837
685	1822	834
686	1824	831
687	1825	827
688	1826	824
689	1828	821
690	1829	818
691	1830	814
692	1832	811
693	1833	808
694	1835	805
695	1836	802
696	1838	799
697	1839	795
698	1841	792
699	1842	789
700	1843	786
701	1845	783
702	1846	780
703	1848	777
704	1849	773
705	1851	771
706	1852	767
707	1854	764
708	1855	761
709	1857	758
710	1858	755
711	1860	752
712	1861	749
713	1862	746
714	1864	743
715	1866	740
716	1868	737
717	1869	734
718	1872	731
719	1873	728
720	1874	725
721	1876	722
722	1877	719
723	1881	717
724	1889	716
725	1892	714
726	1896	712
727	1898	709
728	1899	706
729	1902	703
730	1904	700
731	1906	697
732	1908	695
733	1910	692
734	1912	689
735	1914	686
736	1915	683
737	1916	680
738	1918	677
739	1920	674
740	1922	671
741	1924	669
742	1926	666
743	1927	663
744	1928	660
745	1930	657
746	1931	654
747	1933	651
748	1934	648
749	1936	645
750	1938	642
751	1940	640
752	1942	637
753	1943	634
754	1944	631
755	1946	628
756	1947	625
757	1949	622
758	1952	619
759	1953	617
760	1955	614
761	1957	611
762	1959	608
763	1960	605
764	1962	602
765	1964	600
766	1966	597
767	1969	594
768	1970	591
769	1972	589
770	1974	586
771	1976	583
772	1978	580
773	1979	578
774	1981	575
775	1983	572
776	1985	569
777	1987	567
778	1989	564
779	1991	561
780	1992	558
781	1993	555
782	1996	553
783	1998	550
784	1999	547
785	2001	544
786	2003	542
787	2006	539
788	2007	536
789	2009	534
790	2011	531
791	2013	528
792	2015	526
793	2016	523
794	2019	520
795	2020	517
796	2023	515
797	2024	512
798	2027	509
799	2028	507
800	2029	504
801	2031	501
802	2032	498
803	2034	495
804	2035	493
805	2037	490
806	2039	487
807	2040	484
808	2043	482
809	2045	479
810	2046	477
811	2048	474
812	2050	471
813	2052	469
814	2055	466
815	2058	464
816	2062	462
817	2064	459
818	2066	456
819	2068	454
820	2069	451
821	2071	448
822	2074	446
823	2076	443
824	2078	440
825	2079	438
826	2081	435
827	2083	432
828	2085	430
829	2088	427
830	2090	425
831	2091	422
832	2093	419
833	2094	416
834	2096	414
835	2098	411
836	2100	409
837	2101	406
838	2103	403
839	2104	400
840	2106	398
841	2107	395
842	2109	392
843	2110	390
844	2114	387
845	2115	385
846	2117	382
847	2118	379
848	2120	377
849	2121	374
850	2122	371
851	2124	368
852	2125	366
853	2129	364
854	2131	361
855	2132	358
856	2134	356
857	2135	353
858	2136	350
859	2138	348
860	2139	345
861	2141	342
862	2143	340
863	2145	337
864	2146	335
865	2148	332
866	2150	329
867	2151	327
868	2153	324
869	2155	322
870	2157	319
871	2158	316
872	2160	314
873	2161	311
874	2163	309
875	2165	306
876	2167	303
877	2169	301
878	2171	298
879	2173	296
880	2174	293
881	2176	291
882	2177	288
883	2179	285
884	2180	283
885	2182	280
886	2184	278
887	2186	275
888	2188	273
889	2189	270
890	2190	268
891	2192	265
892	2193	262
893	2195	260
894	2198	257
895	2200	255
896	2202	252
897	2203	250
898	2204	247
899	2205	245
900	2207	242
901	2208	239
902	2210	237
903	2213	235
904	2217	232
905	2219	230
906	2220	227
907	2222	225
908	2224	222
909	2225	220
910	2227	217
911	2229	215
912	2231	212
913	2233	210
914	2234	207
915	2235	205
916	2237	202
917	2238	199
918	2239	197
919	2241	194
920	2242	192
921	2244	189
922	2246	187
923	2247	184
924	2248	182
925	2250	179
926	2252	177
927	2261	175
928	2263	172
929	2265	170
930	2267	168
931	2268	165
932	2270	163
933	2271	160
934	2272	158
935	2274	155
936	2275	152
937	2276	150
938	2278	148
939	2280	145
940	2282	143
941	2283	140
942	2284	138
943	2286	135
944	2287	133
945	2290	130
946	2291	128
947	2293	125
948	2294	123
949	2295	120
950	2296	118
951	2298	115
952	2299	113
953	2300	110
954	2302	108
955	2304	106
956	2305	103
957	2307	101
958	2308	98
959	2310	96
960	2311	93
961	2312	91
962	2314	88
963	2315	86
964	2317	84
965	2318	81
966	2319	79
967	2321	76
968	2324	74
969	2326	71
970	2327	69
971	2328	67
972	2330	64
973	2333	62
974	2334	59
975	2336	57
976	2337	55
977	2338	52
978	2340	50
979	2341	47
980	2342	45
981	2344	42
982	2346	40
983	2348	38
984	2350	35
985	2351	33
986	2353	30
987	2354	28
988	2355	26
989	2357	23
990	2358	21
991	2360	19
992	2361	16
993	2364	14
994	2366	11
995	2369	9
996	2370	7
997	2372	4
998	2373	2
999	2375	0
